# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
loc_rowid,hostname,sy_snum,sy_pnum,cb_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_age,st_rotp
1,11 Com,2,1,0,G8 III,4874.00,13.760000,2.090000,-0.2600,1.97823,,
2,11 Com,2,1,0,,4675.18,17.407000,,-0.5100,,,
3,11 Com B,2,1,0,,4415.00,0.625120,0.691000,,-0.87366,,
4,11 Com,2,1,0,K0,,,,,,,
5,11 Com,2,1,0,,4830.00,,2.040000,-0.3400,,,
6,11 Com,2,1,0,,4755.00,17.181000,,,2.13339,,
7,11 Com,2,1,0,K0 III,4705.00,15.781000,,-0.3000,2.03900,,
8,11 Com,2,1,0,,,,2.600000,,,,
9,11 Com,2,1,0,G8 III,4742.00,19.000000,2.700000,-0.3500,2.24300,,
10,11 UMi,1,1,0,,4255.00,27.032000,1.434000,-0.1300,,3.1860,
11,11 UMi,1,1,0,,,,1.700000,,,,
12,11 UMi,1,1,0,,4213.00,29.790000,2.780000,-0.0200,,,
13,11 UMi,1,1,0,K4 III,4340.00,24.080000,1.800000,0.0400,,1.5600,
14,11 UMi,1,1,0,K0,,,,,,,
15,11 UMi,1,1,0,,4263.77,29.310400,,-0.0869,,,
16,11 UMi,1,1,0,,4248.70,30.262005,,,2.42951,,
17,14 And,1,1,0,G8 III,4826.00,10.300000,1.100000,-0.3200,,4.5000,
18,14 And,1,1,0,K0,,,,,,,
19,14 And,1,1,0,,,,,,,,
20,14 And,1,1,0,,4709.00,10.859000,1.173000,-0.2900,,5.4770,
21,14 And,1,1,0,,4740.00,11.147492,,,1.75216,,
22,14 And,1,1,0,,4689.46,11.216100,,-0.2979,,,
23,14 And,1,1,0,K0 III,4888.00,11.550000,1.780000,-0.2100,1.83992,,
24,14 And,1,1,0,,,,1.200000,,,,
25,14 And,1,1,0,K0 III,4813.00,11.000000,2.200000,-0.2400,1.76300,,
26,14 Her,1,2,0,,5338.00,0.930000,0.900000,0.4100,,,
27,14 Her,1,2,0,,,,,,,,
28,14 Her,1,2,0,,5255.00,,0.900000,0.5100,-0.15000,3.9000,
29,14 Her,1,2,0,K0 V,,,,,,,
30,14 Her,1,2,0,K0,,,,,,,
31,14 Her,1,2,0,,5418.00,,,0.5000,,,
32,14 Her,1,2,0,,5314.94,0.995819,0.969205,0.4052,,,
33,14 Her,1,2,0,,,,,,,7.4700,
34,14 Her,1,2,0,,,,0.900000,,,,
35,14 Her,1,2,0,,5255.00,,0.900000,0.5100,,,
36,14 Her,1,2,0,K0 IV-V,5518.00,0.866800,0.910000,0.4400,-0.20400,,
37,14 Her,1,2,0,,,0.960000,1.066000,,,5.2400,
38,14 Her,1,2,0,,,,0.910000,,,,
39,14 Her,1,2,0,,,,,,,,
40,14 Her,1,2,0,,,,,,,,
41,14 Her,1,2,0,,5280.00,1.002350,0.910000,0.4000,-0.15273,,
42,14 Her,1,2,0,,,,,,,,
43,14 Her,1,2,0,,5311.00,,0.900000,0.4300,,,
44,14 Her,1,2,0,K0 IV-V,,,,,,,
45,14 Her,1,2,0,K0 V,,,1.000000,0.3500,,,
46,14 Her,1,2,0,,,,,,,,
47,14 Her,1,2,0,K0V,5388.00,0.960000,1.070000,0.4600,-0.15500,5.2400,
48,14 Her,1,2,0,,5282.00,1.003684,,,-0.15092,,
49,HIP 96895,3,1,0,,,,,,,,
50,16 Cyg B,3,1,0,G5V,5674.00,1.170000,0.960000,0.0400,0.14300,11.8000,
51,16 Cyg B,3,1,0,,5674.00,,0.990000,0.0380,,,
52,16 Cyg B,3,1,0,G3 V,,,,,,,
53,16 Cyg B,3,1,0,,5777.25,1.119800,,,0.09986,,
54,HIP 96895,3,1,0,,,,,,,,
55,16 Cyg B,3,1,0,,,,,,,,
56,16 Cyg B,3,1,0,,5772.00,,0.990000,0.0800,,,
57,HIP 96895,3,1,0,,5778.00,1.250120,1.040000,0.0900,0.19571,,
58,HIP 96895,3,1,0,G1.5 V,,,,,,,
59,HIP 96895,3,1,0,,,,,,,,
60,16 Cyg B,3,1,0,,5765.00,,0.990000,0.0900,,,
61,16 Cyg B,3,1,0,,5750.00,1.130000,1.080000,0.0600,,,
62,HIP 96895,3,1,0,G0,,,,,,,
63,HIP 96895,3,1,0,,,1.260000,1.022000,,,8.3600,
64,HIP 96895,3,1,0,,,,,,,,
65,16 Cyg B,3,1,0,,,,,,,,
66,16 Cyg B,3,1,0,,5747.00,1.128270,1.030000,0.0600,0.09729,,
67,16 Cyg B,3,1,0,,,,,,,,
68,16 Cyg B,3,1,0,,,1.170000,0.956000,,,11.8000,
69,16 Cyg B,3,1,0,G3 V,,,,,,,
70,16 Cyg B,3,1,0,G3 V,,,,,,,
71,HIP 96895,3,1,0,G2V,5781.00,1.260000,1.020000,0.1000,0.23000,8.3600,
72,16 Cyg B,3,1,0,G0,,,,,,,
73,16 Cyg B,3,1,0,,,,,,,,
74,16 Cyg B,3,1,0,,,,,,,,
75,16 Cyg C,3,1,0,,,,,,,,
76,16 Cyg B,3,1,0,G2.5 V,5760.00,,1.000000,0.0500,,,
77,16 Cyg B,3,1,0,,5751.00,1.080000,0.980000,-0.0280,0.07555,7.4000,
78,16 Cyg B,3,1,0,,,,,,,15.0000,
79,HIP 96895,3,1,0,,,,,,,,
80,16 Cyg B,3,1,0,,5711.97,1.159464,0.982996,0.0739,,,
81,16 Cyg B,3,1,0,,5774.00,,,0.0800,,,
82,17 Sco,1,1,0,,4364.06,32.077300,,0.0248,,,
83,17 Sco,1,1,0,K3 III,4157.00,25.920000,1.220000,-0.0100,2.25435,5.1300,329.49000
84,18 Del,2,1,0,,5076.00,,2.330000,0.0000,,,
85,18 Del,2,1,0,G6 III,5054.00,8.000000,2.000000,-0.1000,,1.1000,
86,18 Del,2,1,0,,,,2.100000,,,,
87,18 Del,2,1,0,,5083.75,7.911375,,,1.57594,,
88,18 Del,2,1,0,K0,,,,,,,
89,18 Del,2,1,0,G6 III,4980.00,8.800000,2.100000,-0.0600,1.63367,,
90,18 Del,2,1,0,G6 III,4979.00,8.500000,2.300000,-0.0520,1.60200,,
91,18 Del,2,1,0,,5074.86,7.818670,,0.0970,,,
92,18 Del B,2,1,0,,3284.00,,,,,,
93,1RXS J160929.1-210524,1,1,0,,4060.00,,0.850000,,-0.37000,0.0100,
94,1RXS J160929.1-210524,1,1,0,K7 V,4060.00,,0.850000,,-0.37000,0.0050,
95,1RXS J160929.1-210524,1,1,0,,3993.00,1.313160,0.623000,,-0.40347,,
96,1RXS J160929.1-210524,1,1,0,,4076.58,1.181766,,,-0.45906,,
97,1RXS J160929.1-210524,1,1,0,K7 V,4060.00,1.352000,0.850000,,,0.0050,
98,24 Boo,1,1,0,G3 IV,4893.00,10.640000,0.990000,-0.7700,1.77415,6.9200,
99,24 Boo,1,1,0,,5025.75,9.973644,,,1.75721,,
100,24 Boo,1,1,0,G3 IV,4816.00,12.190000,1.050000,-0.7800,1.87691,,
101,24 Boo,1,1,0,,5025.78,9.814650,,-0.6155,,,
102,24 Boo,1,1,0,G0,,,,,,,
103,24 Sex,1,2,0,,5027.00,4.934420,,,,,
104,24 Sex,1,2,0,,5098.00,4.900000,1.540000,-0.0300,1.16400,2.7000,
105,24 Sex,1,2,0,,5069.00,,1.810000,-0.0100,,,
106,24 Sex,1,2,0,,5020.00,4.973742,,,1.15088,,
107,24 Sex,1,2,0,G5,,,,,,,
108,24 Sex,1,2,0,K0 IV,,,,,,,
109,2MASS J01033563-5515561 A,2,1,1,M5.5/M6,,,0.190000,,,0.0300,
110,2MASS J01033563-5515561 B,2,1,1,,,,0.170000,,,0.0300,
111,2MASS J01225093-2439505,1,1,0,M3.5 V,3530.00,,0.400000,,-1.72000,0.1200,
112,2MASS J01225093-2439505,1,1,0,,3976.24,,,,,,
113,2MASS J01225093-2439505,1,1,0,,3309.00,0.366450,0.353185,,-1.83849,,
114,2MASS J02192210-3925225,1,1,0,,2873.00,0.267572,0.240111,,-2.35708,,
115,2MASS J02192210-3925225,1,1,0,M6,3064.00,0.281000,0.108000,,-2.23000,0.0350,
116,2MASS J02192210-3925225,1,1,0,,3381.67,,,,,,
117,2MASS J0249-0557 A,2,1,1,M6 V,,,0.046000,,-2.59000,0.0220,
118,2MASS J0249-0557 B,2,1,1,M6 V,,,0.042000,,-2.64000,0.0220,
119,2MASS J0249-0557 A,2,1,1,,2859.00,0.315959,0.294905,,-2.22119,,
120,2MASS J03590986+2009361,1,1,0,,2943.00,0.289776,0.264996,,-2.24602,,
121,2MASS J04372171+2651014,1,1,0,,3243.00,0.641038,0.620366,,-1.38775,,
122,2MASS J04372171+2651014,1,1,0,M V,3100.00,0.840000,0.170000,0.0100,-1.16368,0.0025,1.84000
123,2MASS J04414489+2301513,1,1,0,M8.5,,,0.019000,,,0.0010,
124,2MASS J04414489+2301513,1,1,0,,2936.00,0.231916,0.201559,,-2.44363,,
125,2MASS J11011926-7732383,1,1,0,,,,,,,,
126,2MASS J11550485-7919108,1,1,0,,3021.00,0.600455,0.588460,,-1.56774,,
127,2MASS J12073346-3932539,1,1,0,,,,,,,15.0000,
128,2MASS J12073346-3932539,1,1,0,M8 V,,,,,,,
129,2MASS J12073346-3932539,1,1,0,M8,,,0.024000,,,0.0080,
130,2MASS J12073346-3932539,1,1,0,,2825.00,0.218870,0.188001,,-2.56086,,
131,2MASS J19383260+4603591,2,3,1,,29564.00,0.203000,0.480000,,,,
132,2MASS J19383260+4603591,2,3,1,,10645.00,2.879000,,-0.0920,,,
133,2MASS J19383260+4603591,2,3,1,,10868.00,0.342000,,,,,
134,2MASS J19383260+4603591,2,3,1,,,,0.480000,,,,
135,2MASS J19383260+4603591,2,3,1,,8868.67,,,,,,
136,2MASS J19383260+4603591 Ab,2,3,1,,2829.00,0.168000,0.120000,,,,
137,2MASS J21252752-8138278,1,1,0,,3592.00,0.672832,0.643977,,-1.16815,,
138,2MASS J22362452+4751425,1,1,0,,4033.00,0.641152,0.630000,,-1.00887,,
139,2MASS J22362452+4751425,1,1,0,,4085.00,0.615964,,,-1.02143,,
140,2MASS J22362452+4751425,1,1,0,K7 V,4045.00,,0.600000,,,0.1200,
141,2MASS J22501512+2325342,1,1,0,,3352.00,0.437589,0.433173,,-1.66196,,
142,2MASS J22501512+2325342,1,1,0,M3,,,,,,0.1500,
143,4 UMa,1,1,0,,,,,,,,
144,4 UMa,1,1,0,,4531.00,16.751000,1.610000,-0.1900,,2.0800,
145,4 UMa,1,1,0,K0,,,,,,,
146,4 UMa,1,1,0,,4482.90,16.968400,,-0.1998,,,
147,4 UMa,1,1,0,K1 III,4415.00,18.110000,1.234000,-0.2500,,4.6040,
148,4 UMa,1,1,0,,4430.00,18.240002,,,2.06236,,
149,47 UMa,1,3,0,G0,,,,,,,
150,47 UMa,1,3,0,,,,,,,15.0000,
151,47 UMa,1,3,0,,,,,,,,
152,47 UMa,1,3,0,,5925.00,,1.050000,0.0500,,,
153,47 UMa,1,3,0,,,,,,,,
154,47 UMa,1,3,0,,5892.00,1.230000,1.030000,0.0000,,7.3000,
155,47 UMa,1,3,0,,,,,,,,
156,47 UMa,1,3,0,,5947.00,1.207540,,,0.21569,,
157,47 UMa,1,3,0,,5872.00,1.213340,1.060000,0.0400,0.19780,,
158,47 UMa,1,3,0,,,,,,,,
159,47 UMa,1,3,0,,,1.240000,1.063000,,,6.4800,
160,47 UMa,1,3,0,G0V,5882.00,1.240000,1.060000,0.0400,0.23300,6.4800,
161,47 UMa,1,3,0,,,,,,,,
162,47 UMa,1,3,0,G1 V,,,,,,,
163,47 UMa,1,3,0,G0 V,5882.00,,1.063000,0.0400,,,
164,47 UMa,1,3,0,,5850.00,,,0.0100,,,
165,47 UMa,1,3,0,G0 V,,,,,,,
166,47 UMa,1,3,0,,,,,,,,
167,47 UMa,1,3,0,,,,,,,,
168,47 UMa,1,3,0,,5829.16,1.136537,1.005192,0.0256,,,
169,47 UMa,1,3,0,,5954.00,,1.070000,0.0600,,,
170,51 Eri,3,1,0,,7295.00,1.487260,1.650000,,0.75157,,
171,51 Eri,3,1,0,,,,,,,,
172,GJ 3305,3,1,0,M0.5,,,,,,,
173,51 Eri,3,1,0,A5,,,,,,,
174,51 Eri,3,1,0,F0V,7257.00,1.520000,1.570000,,0.76300,,
175,51 Eri,3,1,0,F0 V,,,,,,,
176,51 Eri,3,1,0,,7276.00,,,0.1300,,,
177,51 Eri,3,1,0,,,,1.750000,,,,
178,51 Eri,3,1,0,,7190.10,1.555305,,,0.76527,,
179,GJ 3305 B,3,1,0,,,,,,,,
180,GJ 3305,3,1,0,,,0.492000,0.528000,,-1.38904,,
181,51 Eri,3,1,0,F0 IV,,,1.750000,-0.0270,0.85000,0.0200,
182,51 Peg,1,1,0,,5773.00,1.290000,,0.2000,,10.0000,30.00000
183,51 Peg,1,1,0,,,1.150000,1.054000,,,6.7600,
184,51 Peg,1,1,0,,,,,,,,
185,51 Peg,1,1,0,,,,,,,15.0000,
186,51 Peg,1,1,0,,,,,,,,
187,51 Peg,1,1,0,,,,,,,,
188,51 Peg,1,1,0,G0,,,,,,,
189,51 Peg,1,1,0,,,,,,,,
190,51 Peg,1,1,0,,,,,,,,
191,51 Peg,1,1,0,,,,,,,,
192,51 Peg,1,1,0,G3 V,,,,,,,
193,51 Peg,1,1,0,,,,,,,,
194,51 Peg,1,1,0,,,,,,,,
195,51 Peg,1,1,0,,5758.00,1.175610,1.030000,0.1800,0.13631,,
196,51 Peg,1,1,0,,5830.00,1.160959,,,0.14700,,
197,51 Peg,1,1,0,,5760.76,1.186744,1.069296,0.2058,,,
198,51 Peg,1,1,0,,,,,,,,
199,51 Peg,1,1,0,,5805.00,,1.040000,0.2100,,,
200,51 Peg,1,1,0,,,,,,,,
201,51 Peg,1,1,0,,,,,,,,
202,51 Peg,1,1,0,,5786.00,,,0.2000,,,
203,51 Peg,1,1,0,,,,,,,,
204,51 Peg,1,1,0,G2 V+,,,,,,,
205,51 Peg,1,1,0,,,,,,,,
206,51 Peg,1,1,0,,,,1.040000,,,,
207,51 Peg,1,1,0,G2.5 IV,5793.00,1.200000,1.120000,0.2000,,4.0000,
208,51 Peg,1,1,0,,,,,,,,
209,51 Peg,1,1,0,G5V,5787.00,1.150000,1.050000,0.2000,0.16100,6.7600,
210,51 Peg,1,1,0,,,,,,,,
211,51 Peg,1,1,0,,,,,,,,
212,51 Peg,1,1,0,,,,,,,,
213,51 Peg,1,1,0,,,,,,,,
214,51 Peg,1,1,0,,,,,,,,
215,51 Peg,1,1,0,,,,,,,,
216,55 Cnc,2,7,0,K0 IV-V,,,,,,,
217,55 Cnc,2,7,0,,5172.00,0.943000,0.905000,0.3500,,,38.80000
218,55 Cnc,2,7,0,,5317.89,0.964411,0.974708,0.3833,,,
219,55 Cnc,2,7,0,,,,0.950000,,,,
220,55 Cnc,2,7,0,,5172.00,0.954000,0.873000,0.3500,,,
221,55 Cnc,2,7,0,,5272.00,0.943000,0.905000,0.3700,,,38.80000
222,55 Cnc,2,7,0,,5250.00,0.963515,,,,,
223,55 Cnc,2,7,0,,,,,,,,
224,55 Cnc,2,7,0,,,,0.950000,,,,
225,55 Cnc,2,7,0,,5234.00,0.943000,0.905000,0.3100,,,
226,55 Cnc,2,7,0,K0 IV-V,5196.00,0.943000,0.905000,0.3100,-0.23500,10.2000,
227,55 Cnc,2,7,0,G8 V,,0.943000,0.963000,,,,
228,55 Cnc,2,7,0,,,,,,,,
229,55 Cnc,2,7,0,G8V,5235.00,0.930000,0.960000,0.3100,-0.18000,9.5000,
230,55 Cnc,2,7,0,,,,,,,,
231,55 Cnc,2,7,0,,5334.00,,,0.4200,,,
232,55 Cnc,2,7,0,,,0.980000,1.015000,,,,
233,55 Cnc,2,7,0,,5250.00,0.963515,0.900000,0.3500,-0.19695,,
234,55 Cnc,2,7,0,G8 V,5200.00,,0.850000,0.2300,,5.0000,44.00000
235,55 Cnc,2,7,0,K0,,,,,,,
236,55 Cnc,2,7,0,K0 IV-V,,,,,,,
237,55 Cnc,2,7,0,,,0.930000,0.963000,,,7.2400,
238,55 Cnc,2,7,0,G8 V,5198.00,0.980000,1.015000,0.3900,,10.0000,39.00000
239,55 Cnc,2,7,0,,5307.00,,0.880000,0.3500,,,
240,55 Cnc,2,7,0,,,,,,,,
241,55 Cnc,2,7,0,,5306.00,0.946378,,,-0.19411,,
242,55 Cnc,2,7,0,G8 V,,,0.950000,0.2700,,5.5000,38.50000
243,55 Cnc B,2,7,0,,3187.00,0.289624,0.264823,,-2.10811,,
244,55 Cnc,2,7,0,,,,,,,,
245,55 Cnc B,2,7,0,M4.5 V,3286.00,0.274000,0.260000,0.1600,,10.0000,92.00000
246,6 Lyn,1,1,0,K0 III-IV,4689.00,6.100000,1.300000,0.1700,,4.0000,
247,6 Lyn,1,1,0,K0 IV,4941.00,4.940000,1.320000,-0.1700,1.11860,,
248,6 Lyn,1,1,0,,,5.200000,1.820000,,,,
249,6 Lyn,1,1,0,,4938.00,5.200000,1.440000,,,,
250,6 Lyn,1,1,0,G5,,,,,,,
251,6 Lyn,1,1,0,,5000.00,5.045864,,,1.15645,,
252,6 Lyn,1,1,0,K0 IV,4978.00,5.200000,1.700000,-0.1300,1.17600,,
253,6 Lyn,1,1,0,,,,,,,,
254,6 Lyn,1,1,0,,4938.00,5.155220,,-0.0100,,,
255,6 Lyn,1,1,0,,5022.00,4.830000,1.562000,-0.1000,,2.3530,
256,61 Vir,1,3,0,,5585.57,1.032510,0.914072,0.0275,,,
257,61 Vir,1,3,0,,,,,,,,
258,61 Vir,1,3,0,,,,,,,,
259,61 Vir,1,3,0,,,,,,,,
260,61 Vir,1,3,0,G5V,5571.00,0.980000,0.940000,0.0500,-0.06000,8.9600,
261,61 Vir,1,3,0,,,0.980000,0.942000,,,8.9600,
262,61 Vir,1,3,0,,,,,,,,
263,61 Vir,1,3,0,,5579.00,,,-0.0200,,,
264,61 Vir,1,3,0,,,,,,,,
265,61 Vir,1,3,0,,,,,,,,
266,61 Vir,1,3,0,,,,,,,,
267,61 Vir,1,3,0,,,,,,,,
268,61 Vir,1,3,0,,,,,,,7.9600,
269,61 Vir,1,3,0,,,,,,,,
270,61 Vir,1,3,0,G5 V,5577.00,0.963000,0.942000,-0.0100,-0.09500,8.9600,
271,61 Vir,1,3,0,,,,,,,,
272,61 Vir,1,3,0,,5915.33,0.885657,,,-0.06286,,
273,61 Vir,1,3,0,,,,,,,,
274,61 Vir,1,3,0,,,,,,,,
275,61 Vir,1,3,0,,5562.00,0.984182,0.980000,-0.0300,-0.07823,,
276,61 Vir,1,3,0,,5558.00,,0.876000,-0.0200,-0.09474,,
277,61 Vir,1,3,0,G5 V,,,,,,,
278,61 Vir,1,3,0,G7 V,5538.00,0.986700,0.930000,0.0100,-0.08502,8.6000,
279,61 Vir,1,3,0,,,,,,,,
280,61 Vir,1,3,0,G7 V,,,,,,,
281,61 Vir,1,3,0,G5,,,,,,,
282,61 Vir,1,3,0,,,,,,,,
283,7 CMa,1,2,0,K1 III,,,,,,,
284,7 CMa,1,2,0,K1 III,4792.00,2.300000,1.520000,0.2100,1.05300,,
285,7 CMa,1,2,0,K1 III (+ M),,,,,,,
286,7 CMa,1,2,0,,4761.00,,1.340000,0.2100,,,
287,7 CMa,1,2,0,,,5.198000,1.439000,,1.12100,,
288,7 CMa,1,2,0,K1III(+M),4799.00,5.010000,1.890000,,1.07900,,
289,7 CMa,1,2,0,K1 III (+ M),,,,,,,
290,7 CMa,1,2,0,,4826.00,4.870000,1.340000,0.2100,1.06258,4.3000,
291,7 CMa,1,2,0,,4794.52,4.908430,,0.0882,,,
292,7 CMa,1,2,0,K0,,,,,,,
293,7 CMa,1,2,0,,4735.00,5.319364,,,1.10769,,
294,70 Vir,1,1,0,,5531.00,1.840000,1.140000,-0.0600,,,
295,70 Vir,1,1,0,G5V,5545.00,1.880000,1.100000,-0.0100,0.50100,7.9200,
296,70 Vir,1,1,0,,5439.00,1.940000,1.090000,-0.0900,0.45130,7.7700,
297,70 Vir,1,1,0,,5545.00,,1.110000,-0.0120,,8.0000,
298,70 Vir,1,1,0,,,,,,,,
299,70 Vir,1,1,0,,,,,,,,
300,70 Vir,1,1,0,,,,,,,,
301,70 Vir,1,1,0,,,,,,,,
302,70 Vir,1,1,0,,5530.00,,0.920000,-0.0500,,,
303,70 Vir,1,1,0,,5495.00,1.923270,0.960000,-0.0700,0.48265,,
304,70 Vir,1,1,0,,5481.86,1.921943,1.060550,-0.0402,,,
305,70 Vir,1,1,0,,,,,,,,
306,70 Vir,1,1,0,,,,,,,,
307,70 Vir,1,1,0,,,,,,,,
308,70 Vir,1,1,0,,6245.00,1.496277,,,0.48685,,
309,70 Vir,1,1,0,,5500.00,,,-0.1100,,,
310,70 Vir,1,1,0,,,,,,,,
311,70 Vir,1,1,0,,,,,,,,
312,70 Vir,1,1,0,,,1.880000,1.101000,,,7.9200,
313,70 Vir,1,1,0,G0,,,,,,,
314,70 Vir,1,1,0,,5495.00,1.890000,1.090000,,,,
315,70 Vir,1,1,0,G4 V,,,,,,,
316,75 Cet,2,2,0,G3 III,4846.00,10.500000,2.490000,0.0000,1.73000,,
317,75 Cet,2,2,0,,4827.32,10.520300,,0.0329,,,
318,75 Cet,2,2,0,,4904.00,,2.150000,0.0200,,,
319,75 Cet,2,2,0,,4846.25,10.620331,,,1.74859,,
320,75 Cet,2,2,0,K1 III,,,,,,,
321,75 Cet,2,2,0,G3 III,4809.00,10.380000,1.920000,0.1000,1.71450,,
322,75 Cet,2,2,0,K0,,,,,,,
323,75 Cet B,2,2,0,,3710.00,0.570341,0.563189,,-1.25554,,
324,8 UMi,1,1,0,K0,4847.40,9.900000,1.800000,-0.0300,,1.7000,
325,8 UMi,1,1,0,,4921.22,10.025266,,,1.72518,,
326,8 UMi,1,1,0,,4847.00,10.300000,1.440000,-0.0300,,,
327,8 UMi,1,1,0,,4847.00,10.730000,1.510000,-0.0300,1.72346,,
328,8 UMi,1,1,0,,4906.00,10.146700,,,,,
329,8 UMi,1,1,0,K0,,,,,,,
330,81 Cet,1,1,0,,4844.29,11.288400,,0.0044,,,
331,81 Cet,1,1,0,,4829.75,11.430091,,,1.80649,,
332,81 Cet,1,1,0,,,,1.600000,,,,
333,81 Cet,1,1,0,K0,,,,,,,
334,81 Cet,1,1,0,,4845.00,,1.740000,-0.0700,,,
335,81 Cet,1,1,0,G5 III,4785.00,11.000000,2.400000,-0.0600,1.77800,,
336,81 Cet,1,1,0,G5 III,4734.00,11.210000,1.230000,-0.1100,1.76027,,
337,81 Cet,1,1,0,K0 III,,,,,,,
338,91 Aqr,3,1,0,,4681.00,,1.320000,0.0000,,,
339,91 Aqr,3,1,0,,4700.00,10.584026,,,1.69239,,
340,91 Aqr,3,1,0,,,,,,,,
341,HD 219449 B,3,1,0,,,,,,,,
342,91 Aqr,3,1,0,K0/1 III,,,,,,,
343,91 Aqr,3,1,0,K0,,,,,,,
344,91 Aqr,3,1,0,,4658.92,10.394700,,-0.0164,,,
345,HD 219449 C,3,1,0,,,,,,,,
346,91 Aqr,3,1,0,K0 III,4665.00,11.000000,1.400000,-0.0300,,3.5600,
347,AB Aur,1,1,0,,7920.00,2.958870,1.898000,,1.49185,,
348,AB Aur,1,1,0,,9770.00,,2.400000,,1.77085,0.0030,
349,AB Pic,1,1,0,K2 V,,,,,,0.0300,
350,AB Pic,1,1,0,K0,,,,,,,
351,AB Pic,1,1,0,,5068.50,0.999394,,,-0.22631,,
352,AB Pic,1,1,0,,5027.00,1.018730,0.840000,,-0.22396,,
353,AB Pic,1,1,0,K2 V,,,,,,,
354,AB Pic,1,1,0,,5378.00,0.730000,0.900000,-0.0500,-0.40000,1.0000,
355,AB Pic,1,1,0,,5285.00,,,0.0400,,,
356,AB Pic,1,1,0,,,,,,,,
357,AF Lep,1,1,0,F8,,,1.218000,,,,
358,AF Lep,1,1,0,F8 V(n) (k),,,,,,,
359,AF Lep,1,1,0,,,,,,,,
360,AF Lep,1,1,0,F5,,,,,,,
361,AF Lep,1,1,0,,6409.37,1.077410,1.290000,0.2900,0.24672,,
362,AF Lep,1,1,0,F7/8 V,,,,,,,
363,AF Lep,1,1,0,F7/8V,6496.00,1.220000,1.270000,0.2900,0.29000,0.4000,
364,AF Lep,1,1,0,,,,,,,,
365,AF Lep,1,1,0,F8 V,6130.00,1.250000,1.200000,0.1900,,0.0240,1.00700
366,AF Lep,1,1,0,F8 V,6140.00,,1.130000,,,0.0240,0.96600
367,AF Lep,1,1,0,,,,,,,,
368,AF Lep,1,1,0,F8 V,6100.00,1.250000,1.201000,,,0.0240,
369,AF Lep,1,1,0,,,1.220000,1.268000,,,,
370,AT2021ueyL,1,1,0,M V,3680.00,,0.490000,,,,
371,AU Mic,1,4,0,,,,0.500000,,,,
372,AU Mic,1,4,0,,3700.00,0.750000,0.500000,,-1.04576,0.0220,4.86000
373,AU Mic,1,4,0,,3665.00,0.820000,0.600000,0.1200,-0.99000,0.0185,4.85600
374,AU Mic,1,4,0,M0.0,,,,,,,
375,AU Mic,1,4,0,,,0.750000,,,,,4.85000
376,AU Mic,1,4,0,,3700.00,0.750000,0.500000,,-1.04576,0.0220,4.86300
377,AU Mic,1,4,0,,3992.36,0.613598,,,-1.06462,,
378,AU Mic,1,4,0,,,,,,,,
379,AU Mic,1,4,0,,,,,,,,4.85000
380,AU Mic,1,4,0,M1VE,3753.00,0.700000,0.540000,,-1.04600,,
381,AU Mic,1,4,0,M1 VE,,,,,,,
382,AU Mic,1,4,0,,,0.698009,0.662074,,,,
383,AU Mic,1,4,0,,3700.00,0.750000,0.500000,,,0.0220,4.86300
384,AU Mic,1,4,0,,3678.00,0.744000,0.510000,0.2300,-1.03810,0.0201,
385,AU Mic,1,4,0,,3588.00,0.698009,,,,,
386,AU Mic,1,4,0,K5,,,,,,,
387,AU Mic,1,4,0,M1,3700.00,0.750000,0.500000,,-1.04576,0.0220,4.86000
388,BD+03 2562,1,1,0,,4095.00,38.829600,,-0.7100,,,
389,BD+03 2562,1,1,0,,4095.00,37.760117,,,2.55778,,
390,BD+03 2562,1,1,0,,4095.00,32.350000,1.140000,-0.7100,2.70000,5.2000,
391,BD+05 4868 A,2,1,0,,4617.00,0.700493,0.730000,,-0.69706,,
392,BD+05 4868 B,2,1,0,,,0.420000,0.430000,,-1.63827,,
393,BD+05 4868 A,2,1,0,K V,4596.00,0.690000,0.700000,-0.0500,-0.71670,11.1000,
394,BD+14 4559,1,1,0,,4864.00,0.863285,0.790000,0.1700,-0.42502,,
395,BD+14 4559,1,1,0,,4869.17,0.862189,,,-0.42428,,
396,BD+14 4559,1,1,0,,4864.00,,0.820000,0.1700,,,
397,BD+14 4559,1,1,0,K2 V,5008.00,0.950000,0.860000,0.1000,-0.32000,,
398,BD+14 4559,1,1,0,,4864.00,0.860000,0.490000,0.1700,,,
399,BD+15 2375,1,1,0,,4649.00,8.950000,1.080000,-0.2200,1.57000,7.4100,
400,BD+15 2375,1,1,0,,4758.47,10.844412,,,1.73498,,
401,BD+15 2375,1,1,0,G5,,,,,,,
402,BD+15 2375,1,1,0,,4649.00,11.804300,,-0.2200,,,
403,BD+15 2940,1,1,0,,4796.00,10.491786,,,1.71991,,
404,BD+15 2940,1,1,0,,4796.00,10.764200,,-0.2800,,,
405,BD+15 2940,1,1,0,K0,4796.00,14.700000,1.100000,0.2800,2.01000,7.1000,
406,BD+20 2457,1,2,0,,4259.00,71.020000,10.830000,-0.7900,,,
407,BD+20 2457,1,2,0,,4181.98,46.045100,,-0.8058,,,
408,BD+20 2457,1,2,0,K2 II,4137.00,49.000000,2.800000,-1.0000,3.17000,,
409,BD+20 2457,1,2,0,,4259.00,,1.060000,-0.7900,,,
